Shape_Leng,Shape_Area,AREA_NAME,GEO_CONCAT,GEO_MATCH,CNTRY_NAME,ADM1_NAME,ADM2_NAME,ADM_LEVEL,USCBCMNT,NSO_CODE
2.18450826710,0.11610235469,SAPTARI,NEPAL_MADHESH_SAPTARI,NPL_02_01,NEPAL,MADHESH,SAPTARI,"2",,"201"
2.84530625433,0.14529559238,JHAPA,NEPAL_KOSHI_JHAPA,NPL_01_11,NEPAL,KOSHI,JHAPA,"2",,"111"
2.15605258761,0.16518516189,MORANG,NEPAL_KOSHI_MORANG,NPL_01_12,NEPAL,KOSHI,MORANG,"2",,"112"
2.00748395789,0.10801884917,SUNSARI,NEPAL_KOSHI_SUNSARI,NPL_01_13,NEPAL,KOSHI,SUNSARI,"2",,"113"
1.84958103865,0.10337437512,SIRAHA,NEPAL_MADHESH_SIRAHA,NPL_02_02,NEPAL,MADHESH,SIRAHA,"2",,"202"
2.45401807390,0.15301110314,ILAM,NEPAL_KOSHI_ILAM,NPL_01_10,NEPAL,KOSHI,ILAM,"2",,"110"
2.38677895167,0.10791845277,DHANUSA,NEPAL_MADHESH_DHANUSA,NPL_02_03,NEPAL,MADHESH,DHANUSA,"2",,"203"
1.82563017102,0.09090001927,MAHOTTARI,NEPAL_MADHESH_MAHOTTARI,NPL_02_04,NEPAL,MADHESH,MAHOTTARI,"2",,"204"
3.71566364889,0.20866375186,UDAYAPUR,NEPAL_KOSHI_UDAYAPUR,NPL_01_14,NEPAL,KOSHI,UDAYAPUR,"2",,"114"
1.63843055995,0.08171088497,DHANKUTA,NEPAL_KOSHI_DHANKUTA,NPL_01_07,NEPAL,KOSHI,DHANKUTA,"2",,"107"
2.00620223835,0.11482505629,SARLAHI,NEPAL_MADHESH_SARLAHI,NPL_02_05,NEPAL,MADHESH,SARLAHI,"2",,"205"
1.88405788071,0.09440238978,RAUTAHAT,NEPAL_MADHESH_RAUTAHAT,NPL_02_06,NEPAL,MADHESH,RAUTAHAT,"2",,"206"
1.18458214313,0.06104830837,TERHATHUM,NEPAL_KOSHI_TERHATHUM,NPL_01_08,NEPAL,KOSHI,TERHATHUM,"2",,"108"
2.32383476228,0.11580822202,BARA,NEPAL_MADHESH_BARA,NPL_02_07,NEPAL,MADHESH,BARA,"2",,"207"
2.34796511277,0.11351847059,PANCHTHAR,NEPAL_KOSHI_PANCHTHAR,NPL_01_09,NEPAL,KOSHI,PANCHTHAR,"2",,"109"
2.38764165013,0.14471391139,KHOTANG,NEPAL_KOSHI_KHOTANG,NPL_01_05,NEPAL,KOSHI,KHOTANG,"2",,"105"
3.39916146397,0.22628336232,SINDHULI,NEPAL_BĀGMATĪ_SINDHULI,NPL_03_11,NEPAL,BĀGMATĪ,SINDHULI,"2",,"311"
2.29743581987,0.12825255530,PARSA,NEPAL_MADHESH_PARSA,NPL_02_08,NEPAL,MADHESH,PARSA,"2",,"208"
2.15327135569,0.13875643785,BHOJPUR,NEPAL_KOSHI_BHOJPUR,NPL_01_06,NEPAL,KOSHI,BHOJPUR,"2",,"106"
1.64199899835,0.09812805355,OKHALDHUNGA,NEPAL_KOSHI_OKHALDHUNGA,NPL_01_04,NEPAL,KOSHI,OKHALDHUNGA,"2",,"104"
1.52634279023,0.06439711426,NAWALPARASI WEST,NEPAL_LUMBINĪ_NAWALPARASI WEST,NPL_05_07,NEPAL,LUMBINĪ,NAWALPARASI WEST,"2",Formed from part of Nawalparasi (no longer exists),"507"
1.15945736650,0.03624671379,LALITPUR,NEPAL_BĀGMATĪ_LALITPUR,NPL_03_08,NEPAL,BĀGMATĪ,LALITPUR,"2",,"308"
3.18640713393,0.22309675229,MAKWANPUR,NEPAL_BĀGMATĪ_MAKWANPUR,NPL_03_12,NEPAL,BĀGMATĪ,MAKWANPUR,"2",,"312"
0.57509143785,0.01125773984,BHAKTAPUR,NEPAL_BĀGMATĪ_BHAKTAPUR,NPL_03_07,NEPAL,BĀGMATĪ,BHAKTAPUR,"2",,"307"
2.15186084738,0.12733609104,KAVREPALANCHOK,NEPAL_BĀGMATĪ_KAVREPALANCHOK,NPL_03_09,NEPAL,BĀGMATĪ,KAVREPALANCHOK,"2",,"309"
2.22323745349,0.11927178421,RUPANDEHI,NEPAL_LUMBINĪ_RUPANDEHI,NPL_05_08,NEPAL,LUMBINĪ,RUPANDEHI,"2",,"508"
1.35949007261,0.03784254155,KATHMANDU,NEPAL_BĀGMATĪ_KATHMANDU,NPL_03_06,NEPAL,BĀGMATĪ,KATHMANDU,"2",,"306"
2.30364302198,0.15098359805,KAPILBASTU,NEPAL_LUMBINĪ_KAPILBASTU,NPL_05_09,NEPAL,LUMBINĪ,KAPILBASTU,"2",,"509"
2.82480061295,0.14285977079,RAMECHHAP,NEPAL_BĀGMATĪ_RAMECHHAP,NPL_03_10,NEPAL,BĀGMATĪ,RAMECHHAP,"2",,"310"
2.75548540465,0.13046332555,NAWALPARASI EAST,NEPAL_GAṆḌAKĪ_NAWALPARASI EAST,NPL_04_08,NEPAL,GAṆḌAKĪ,NAWALPARASI EAST,"2",Formed from part of Nawalparasi (no longer exists),"408"
3.38268933404,0.20470522072,CHITAWAN,NEPAL_BĀGMATĪ_CHITAWAN,NPL_03_13,NEPAL,BĀGMATĪ,CHITAWAN,"2",,"313"
2.90349269094,0.33198040233,TAPLEJUNG,NEPAL_KOSHI_TAPLEJUNG,NPL_01_01,NEPAL,KOSHI,TAPLEJUNG,"2",,"101"
3.54018887937,0.31717242773,SANKHUWASABHA,NEPAL_KOSHI_SANKHUWASABHA,NPL_01_02,NEPAL,KOSHI,SANKHUWASABHA,"2",,"102"
2.62267438032,0.13391498631,PALPA,NEPAL_LUMBINĪ_PALPA,NPL_05_06,NEPAL,LUMBINĪ,PALPA,"2",,"506"
1.99735154996,0.10935890909,NUWAKOT,NEPAL_BĀGMATĪ_NUWAKOT,NPL_03_05,NEPAL,BĀGMATĪ,NUWAKOT,"2",,"305"
2.93990994331,0.30696033933,SOLUKHUMBU,NEPAL_KOSHI_SOLUKHUMBU,NPL_01_03,NEPAL,KOSHI,SOLUKHUMBU,"2",,"103"
2.37911586832,0.11357879880,ARGHAKHANCHI,NEPAL_LUMBINĪ_ARGHAKHANCHI,NPL_05_05,NEPAL,LUMBINĪ,ARGHAKHANCHI,"2",,"505"
2.75359225024,0.14416965419,TANAHU,NEPAL_GAṆḌAKĪ_TANAHU,NPL_04_07,NEPAL,GAṆḌAKĪ,TANAHU,"2",,"407"
2.86909141994,0.19661731248,DOLAKHA,NEPAL_BĀGMATĪ_DOLAKHA,NPL_03_01,NEPAL,BĀGMATĪ,DOLAKHA,"2",,"301"
2.56759604131,0.22826146774,SINDHUPALCHOK,NEPAL_BĀGMATĪ_SINDHUPALCHOK,NPL_03_02,NEPAL,BĀGMATĪ,SINDHUPALCHOK,"2",,"302"
2.30649355845,0.09521522346,SYANGJA,NEPAL_GAṆḌAKĪ_SYANGJA,NPL_04_09,NEPAL,GAṆḌAKĪ,SYANGJA,"2",,"409"
3.06794252834,0.27529106834,DANG,NEPAL_LUMBINĪ_DANG,NPL_05_10,NEPAL,LUMBINĪ,DANG,"2",,"510"
2.06283009238,0.10172183373,GULMI,NEPAL_LUMBINĪ_GULMI,NPL_05_04,NEPAL,LUMBINĪ,GULMI,"2",,"504"
2.28496706615,0.17266054570,BANKE,NEPAL_LUMBINĪ_BANKE,NPL_05_11,NEPAL,LUMBINĪ,BANKE,"2",,"511"
3.45222392314,0.17485382823,DHADING,NEPAL_BĀGMATĪ_DHADING,NPL_03_04,NEPAL,BĀGMATĪ,DHADING,"2",,"304"
2.29087464144,0.12129494429,PYUTHAN,NEPAL_LUMBINĪ_PYUTHAN,NPL_05_03,NEPAL,LUMBINĪ,PYUTHAN,"2",,"503"
2.45236970462,0.13793754832,RASUWA,NEPAL_BĀGMATĪ_RASUWA,NPL_03_03,NEPAL,BĀGMATĪ,RASUWA,"2",,"303"
1.56090575340,0.04978730611,PARBAT,NEPAL_GAṆḌAKĪ_PARBAT,NPL_04_10,NEPAL,GAṆḌAKĪ,PARBAT,"2",,"410"
1.94233528998,0.15293687829,LAMJUNG,NEPAL_GAṆḌAKĪ_LAMJUNG,NPL_04_06,NEPAL,GAṆḌAKĪ,LAMJUNG,"2",,"406"
2.27393134941,0.17347589559,ROLPA,NEPAL_LUMBINĪ_ROLPA,NPL_05_02,NEPAL,LUMBINĪ,ROLPA,"2",,"502"
2.34386160292,0.19188267696,KASKI,NEPAL_GAṆḌAKĪ_KASKI,NPL_04_05,NEPAL,GAṆḌAKĪ,KASKI,"2",,"405"
2.88557924207,0.16895889917,BAGLUNG,NEPAL_GAṆḌAKĪ_BAGLUNG,NPL_04_11,NEPAL,GAṆḌAKĪ,BAGLUNG,"2",,"411"
2.79902537735,0.17827889517,SALYAN,NEPAL_KARṆĀLĪ_SALYAN,NPL_06_09,NEPAL,KARṆĀLĪ,SALYAN,"2",,"609"
2.62071634797,0.18422057185,BARDIYA,NEPAL_LUMBINĪ_BARDIYA,NPL_05_12,NEPAL,LUMBINĪ,BARDIYA,"2",,"512"
4.09636790628,0.33549167357,GORKHA,NEPAL_GAṆḌAKĪ_GORKHA,NPL_04_01,NEPAL,GAṆḌAKĪ,GORKHA,"2",,"401"
2.95610187155,0.21070333349,MYAGDI,NEPAL_GAṆḌAKĪ_MYAGDI,NPL_04_04,NEPAL,GAṆḌAKĪ,MYAGDI,"2",,"404"
2.48680906528,0.15526982722,RUKUM EAST,NEPAL_LUMBINĪ_RUKUM EAST,NPL_05_01,NEPAL,LUMBINĪ,RUKUM EAST,"2",Formed from part of Rukum (no longer exists),"501"
2.43012791239,0.21426713064,MANANG,NEPAL_GAṆḌAKĪ_MANANG,NPL_04_02,NEPAL,GAṆḌAKĪ,MANANG,"2",,"402"
3.61092042443,0.22937989006,SURKHET,NEPAL_KARṆĀLĪ_SURKHET,NPL_06_10,NEPAL,KARṆĀLĪ,SURKHET,"2",,"610"
2.19096342834,0.11204761420,RUKUM WEST,NEPAL_KARṆĀLĪ_RUKUM WEST,NPL_06_08,NEPAL,KARṆĀLĪ,RUKUM WEST,"2",Formed from part of Rukum (no longer exists),"608"
3.39770536023,0.30342092815,KAILALI,NEPAL_SUDŪRPASHCHIM_KAILALI,NPL_07_08,NEPAL,SUDŪRPASHCHIM,KAILALI,"2",,"708"
2.63584515948,0.20549076854,JAJARKOT,NEPAL_KARṆĀLĪ_JAJARKOT,NPL_06_07,NEPAL,KARṆĀLĪ,JAJARKOT,"2",,"607"
1.94257322983,0.13725711314,DAILEKH,NEPAL_KARṆĀLĪ_DAILEKH,NPL_06_06,NEPAL,KARṆĀLĪ,DAILEKH,"2",,"606"
2.26688362748,0.14965585969,KANCHANPUR,NEPAL_SUDŪRPASHCHIM_KANCHANPUR,NPL_07_09,NEPAL,SUDŪRPASHCHIM,KANCHANPUR,"2",,"709"
3.20475032887,0.32998642868,MUSTANG,NEPAL_GAṆḌAKĪ_MUSTANG,NPL_04_03,NEPAL,GAṆḌAKĪ,MUSTANG,"2",,"403"
2.66952992646,0.15759222082,ACHHAM,NEPAL_SUDŪRPASHCHIM_ACHHAM,NPL_07_07,NEPAL,SUDŪRPASHCHIM,ACHHAM,"2",,"707"
2.42833163994,0.13942079276,DADELDHURA,NEPAL_SUDŪRPASHCHIM_DADELDHURA,NPL_07_05,NEPAL,SUDŪRPASHCHIM,DADELDHURA,"2",,"705"
2.74094245285,0.19016401375,DOTI,NEPAL_SUDŪRPASHCHIM_DOTI,NPL_07_06,NEPAL,SUDŪRPASHCHIM,DOTI,"2",,"706"
2.27025842885,0.15211162331,KALIKOT,NEPAL_KARṆĀLĪ_KALIKOT,NPL_06_05,NEPAL,KARṆĀLĪ,KALIKOT,"2",,"605"
2.81919564543,0.23708189573,JUMLA,NEPAL_KARṆĀLĪ_JUMLA,NPL_06_04,NEPAL,KARṆĀLĪ,JUMLA,"2",,"604"
4.85722015588,0.73686300616,DOLPA,NEPAL_KARṆĀLĪ_DOLPA,NPL_06_01,NEPAL,KARṆĀLĪ,DOLPA,"2",,"601"
2.49927203953,0.13892570705,BAITADI,NEPAL_SUDŪRPASHCHIM_BAITADI,NPL_07_04,NEPAL,SUDŪRPASHCHIM,BAITADI,"2",,"704"
2.97767186241,0.21390110784,BAJURA,NEPAL_SUDŪRPASHCHIM_BAJURA,NPL_07_01,NEPAL,SUDŪRPASHCHIM,BAJURA,"2",,"701"
4.02643175770,0.30115596954,MUGU,NEPAL_KARṆĀLĪ_MUGU,NPL_06_02,NEPAL,KARṆĀLĪ,MUGU,"2",,"602"
3.15687161294,0.32246200396,BAJHANG,NEPAL_SUDŪRPASHCHIM_BAJHANG,NPL_07_02,NEPAL,SUDŪRPASHCHIM,BAJHANG,"2",,"702"
2.78037247765,0.21862771438,DARCHULA,NEPAL_SUDŪRPASHCHIM_DARCHULA,NPL_07_03,NEPAL,SUDŪRPASHCHIM,DARCHULA,"2",Includes Kalapani disputed area,"703"
5.16051868900,0.56196340954,HUMLA,NEPAL_KARṆĀLĪ_HUMLA,NPL_06_03,NEPAL,KARṆĀLĪ,HUMLA,"2",,"603"
